"asset_id","asset_discipline","asset_work_description","location","start_mileage","end_mileage","project_number","project_name","delivery_year"
"000001323614","discipline 4","Canopy alterations. Contribution to TFL scheme","Pokesdown",402,406,880878,"Project name 3","2019/20"
"000001323532","discipline 4","Canopy Repairs","Clapham Junction",888,893,837518,"Project name 1","2016/17"
"000001323381","discipline 4","Platform repairs.","Ashford (Middlesex)",902,903,748696,"Project name 2","2017/18"
"000001323515","discipline 4","Glazing Repairs to Concourse Canopy","Effingham Junction",74,80,415278,"Project name 2","2019/20"
"000001323383","discipline 4","Platform Repairs","Sunbury",68,69,265170,"Project name 3","2017/18"
"000001323699","Buildings","Canopy alterations. Contribution to TFL scheme","Chertsey",308,309,178462,"Project name 1","2019/20"
"000001323531","discipline 4","Platform repairs","Hinton Admiral",34,41,170801,"Project name 3","2015/16"
"000001323627","Buildings","Canopy alterations. Contribution to TFL scheme","Winchfield",458,459,310410,"Project name 3","2015/16"
"000001323519","Electrification & Fixed Plant","Glazing Repairs to Concourse Canopy","Kew Bridge",679,682,351988,"Project name 1","2015/16"
"000001323531","discipline 4","PPM & Reactive MDU L&E","Surbiton",680,681,546803,"Project name 2","2017/18"
"000001323519","Buildings","Refurbish TCS Block","Ascot",986,987,370707,"Project name 3","2016/17"
"000001323381","discipline 4","Platform PM costs","LMD Basingstoke",580,581,214788,"Project name 2","2015/16"
"000001323581","discipline 3","Refurbish Fleet Tech Block","Wokingham ",987,992,579326,"Project name 1","2017/18"
"000001323393","discipline 4","Refurbish TCS Block","Thames Ditton",650,657,142316,"Project name 1","2015/16"
"000001323515","Buildings","Canopy/Station Roof Repairs","LSB Wimbledon ASC",949,953,631557,"Project name 3","2017/18"
"000001323690","discipline 4","Glazing Repairs to Concourse Canopy","Surbiton",411,417,331148,"Project name 3","2016/17"
"000001323520","Buildings","Rewire/Relight","FGW  Stations",786,788,160663,"Project name 2","2018/19"
"000001323538","discipline 4","Canopy and Box Gutter Repairs","Horsley",568,573,436675,"Project name 1","2015/16"
"000001323402","Buildings","Platform repairs.","NDS Eastleigh LWRD",457,464,351706,"Project name 1","2019/20"
"000001323538","Buildings","Glazing Repairs to Concourse Canopy","Motspur Park",836,837,341017,"Project name 1","2016/17"
"000001323520","discipline 3","Glazing Repairs to Concourse Canopy","Norbiton",460,464,237435,"Project name 2","2016/17"
"000001323393","Buildings","Canopy/Station Roof Repairs","Upper Halliford",32,36,522629,"Project name 2","2017/18"
"000001323688","discipline 4","Canopy repairs","Teddington",55,57,717496,"Project name 1","2016/17"
"000001323587","Buildings","Canopy/Station Roof Repairs","Millbrook",579,583,204268,"Project name 1","2018/19"
"000001323627","discipline 4","Removal of redundant Canopy 03 Structure and supporting columns.","Clapham Junction",948,949,219803,"Project name 1","2018/19"
"000001323529","discipline 3","Canopy/Station Roof Repairs","Weybridge",740,743,293060,"Project name 3","2015/16"
"000001323614","Electrification & Fixed Plant","Removal of redundant Canopy 03 Structure and supporting columns.","Windsor & Eton Riverside",751,760,200567,"Project name 3","2018/19"
"000001324726","Buildings","Canopy Repairs","Farncombe",499,503,322840,"Project name 1","2019/20"
"000001323395","discipline 3","Station Building Roof Repairs","Pokesdown",733,739,379662,"Project name 2","2019/20"
"000001323521","discipline 4","Asbestos management surveys","Surbiton",657,659,349899,"Project name 3","2017/18"
"000001323696","Buildings","Canopy and Box Gutter Repairs","Ryde Pier",703,706,819870,"Project name 1","2018/19"
"000001323521","discipline 4","Power Upgrade and HVAC Works (CP4 Unfunded)","MDU's",226,232,501378,"Project name 1","2015/16"
"000001323382","Electrification & Fixed Plant","Canopy Repairs","Havant",766,775,990145,"Project name 2","2016/17"
"000001323383","discipline 4","Canopy/Station Roof Repairs","Putney",526,529,363703,"Project name 2","2019/20"
"000001323530","Buildings","Platform 2 Repairs","LSB Wimbledon ASC",159,164,725906,"Project name 3","2018/19"
"000001323530","discipline 3","Footbridge Repairs","Queenstown Road",303,305,699416,"Project name 3","2016/17"
"000001323690","Buildings","Footbridge Repairs","Upper Halliford",272,279,962841,"Project name 1","2017/18"
"000001323529","discipline 3","Waterproofing works to LUL areas","Motspur Park",969,970,540686,"Project name 3","2019/20"
"000001323521","discipline 3","Canopy Repairs","LSB's",49,51,725244,"Project name 2","2019/20"
"000001323578","discipline 4","Car Park Resurfacing","London Overground Stations",968,971,528293,"Project name 1","2016/17"
"000001323393","Electrification & Fixed Plant","Canopy and Box Gutter Repairs","Tolworth",340,345,759738,"Project name 2","2015/16"
"000001323627","Buildings","Rewire/Relight","Walton on Thames",939,942,495829,"Project name 3","2017/18"
"000001323529","discipline 3","Refurbish TCS Block","Ashford (Middlesex)",182,183,358064,"Project name 1","2016/17"
